#Data set complied for AntT data base in June 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bulk Marion Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,,,,,,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,Wt%,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Sample ID,idex,type,Location,Published,SourceID,Collected By ,Analyses Type,Analyzed by,Comments,Oxide,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,H2O-,Total,element,As,Ba,Ce,Co,Cr,Hg,La,Nb,Nd,Ni,Rb,Sc,Sr,Th,U,Y,Zr
LC51,1,Basalt,Triegaard Bay liff,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,45.21,3.11,14.67,0.03,3.77,8.79,0.16,9.02,10.01,3.19,0.49,0.31,0.17,0.08,99.01,Tephra ppm,235,176,52,55,237,425,22,30,29,144,17,28,530,3,-2,33,198
LC67,2,Basalt,Triegaard Bay ,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,46.02,3.6,18.62,-99,4.64,6.91,0.16,4.39,11.38,3.36,0.9,0.43,0.12,0.05,100.58,Tephra ppm,-99,115,43,70,-99,-99,13,25,26,26,17,22,646,-99,-99,31,188
LC120,3,Basalt,Black Haglet Valley,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,46.46,3.17,16.32,-99,3.79,8.12,0.17,6.9,9.78,3.79,1.28,0.57,0.28,0.23,100.86,Tephra ppm,-99,149,63,51,-99,-99,23,36,33,80,20,25,584,-99,-99,34,267
LC160,4,Feldspar-phyric basalt,Triegaard Bay Cliff,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,46.54,3.64,17.78,-99,5.61,6.3,0.17,4.32,10.64,3.8,1.21,0.54,0.31,0.17,101.03,Tephra ppm,-99,280,66,44,-99,-99,20,34,33,26,20,23,652,-99,-99,35,247
LC31,5,Basalt,east Santa Rosa Valley,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,46.63,2.52,13.07,0.09,5.03,6.46,0.17,10.88,10.24,3.11,0.24,0.3,0.34,0.25,99.33,Tephra ppm,100,153,51,49,489,60,16,24,28,251,11,29,450,3,-2,32,185
LC171,6,Basalt,west of Long Ridge,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,47.1,3.29,15.79,-99,3.31,8.87,0.16,6.18,10.22,3.79,1.02,0.46,0.24,0.12,100.55,Tephra ppm,-99,202,57,48,-99,-99,20,31,36,55,17,25,529,-99,-99,33,221
81WV10,7,Trachybasalt,east Santa Rosa Valley,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,47.23,3.54,15.42,-99,4.02,8.92,0.21,5.01,8.13,4.49,1.64,0.62,0.34,0.04,99.61,Tephra ppm,-99,-99,-99,-99,-99,-99,-99,48,-99,-99,24,-99,698,-99,-99,45,292
LC58,8,Trachybasalt,Ship's Cove,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,50.68,2.46,17.27,-99,4.34,6.77,0.18,4.12,6.77,5.05,1.61,0.83,0.17,0.17,100.42,Tephra ppm,425,509,116,26,67,340,54,63,57,5,37,13,844,10,6,50,378
LC23,9,trachyandesite,Goodhope Bay,LeMasurier and Thomson,Table F.2.1,,XRF,U. Stellenbosch,,Tephra wieght %,55.33,1.5,17.06,-99,2.3,6.3,0.21,2.6,5.06,5.81,2.17,0.66,0.23,0.11,99.34,Tephra ppm,735,594,136,18,104,53,64,80,66,3,46,13,715,13,7,67,520
WJM42,10,basalt,west Gordon's Hill,LeMasurier and Thomson,Table F.2.1,,"volumetric, gravimetric, and flame photometric procedures",National institute for Metallurgy,,Tephra wieght %,45.97,3.6,17.91,-99,3.27,8.93,0.14,4.94,9.67,3.3,1.38,0.43,0.49,0.01,100.04,Tephra ppm,-99,358,-99,-99,-99,-99,-99,44,-99,22,23,-99,692,-99,-99,34,275
WJM62,11,Basalt,Santa Rosa Hill,LeMasurier and Thomson,Table F.2.1,,"volumetric, gravimetric, and flame photometric procedures",National institute for Metallurgy,,Tephra wieght %,46.79,2.57,13.37,-99,1.69,9.29,0.16,11.49,10.23,3.02,0.98,0.3,0.25,0.07,100.21,Tephra ppm,-99,203,-99,-99,-99,-99,-99,29,-99,292,16,-99,447,-99,-99,27,205
81WV3,12,Basalt,Kaalkoppie,LeMasurier and Thomson,Table F.2.1,,"volumetric, gravimetric, and flame photometric procedures",National institute for Metallurgy,,Tephra wieght %,47.64,3.29,15.96,-99,1.94,9.73,0.18,5.61,10.65,3.54,1.31,0.52,0.3,0.02,100.69,Tephra ppm,220,326,71,45,100,261,32,47,36,46,25,26,694,6,5,42,279
WJM67,13,Trachybasalt,Fred's Hill,LeMasurier and Thomson,Table F.2.1,,"volumetric, gravimetric, and flame photometric procedures",National institute for Metallurgy,,Tephra wieght %,48.78,3.62,16.58,-99,3.89,8,0.22,4.8,8.13,3.7,1.75,0.65,0.26,0.03,100.41,Tephra ppm,-99,395,-99,-99,-99,-99,-99,54,-99,22,32,-99,679,-99,-99,38,363

