Locality No.,Na,Na Std.,K,K Std.,Rb,Rb Std.,Cs,Cs Std.,Ba,Ba Std.,La,La Std.,Ce,Ce Std.,Nd,Nd Std.,Sm,Sm Std.,Eu,Eu Std.,Tb,Tb Std.,Dy,Dy Std.,Yb,Yb Std.,Lu,Lu Std.,Th,Th Std.,U,U Std.,Zr,Zr Std.,Hf,Hf Std.,Ta,Ta Std.,Mn,Mn Std.,Co,Co Std.,Fe,Fe Std.,Sc,Sc Std.,Cr,Cr Std.,Sb,Sb Std.
1,2.3,0.02,3.8,0.2,163,3,6.5,0.1,54,20,18.4,0.9,35,0.3,15,5,4.4,0.1,0.04,0.01,0.34,0.06,4.2,0.1,1.8,0.2,0.48,0.01,19.6,0.2,7,0.1,57,16,3.6,0.1,2.2,0.1,257,2,0.23,0.03,0.51,0.01,2.57,0.02,1.8,0.4,1.05,0.09
2,2.66,0.02,4.3,0.2,166,3,6.7,0.1,49,13,16.7,0.9,33.4,0.3,19,4,4.3,0.1,0.03,0.01,0.61,0.06,3.9,0.2,1.7,0.2,0.46,0.01,18.3,0.2,7.2,0.1,68,12,3.4,0.1,2.1,0.1,259,2,0.07,0.02,0.47,0.01,2.51,0.02,1.5,0.3,0.71,0.09
3,2.5,0.02,3.9,0.1,169,3,6.9,0.1,51,18,16.8,0.8,34,0.3,20,4,4,0.1,0.03,0.01,0.44,0.05,4.1,0.2,1.4,0.1,0.49,0.01,19,0.2,7.1,0.1,76,15,3.6,0.1,2.1,0.1,249,3,0.02,0.03,0.46,0.01,2.56,0.02,1.1,0.4,1.06,0.09
4,2.51,0.02,3.9,0.2,162,3,6.5,0.1,51,16,17.7,0.9,33,0.3,16,5,4,0.1,0.04,0.01,0.39,0.05,3.2,0.2,1.6,0.1,0.45,0.01,18.6,0.2,6.8,0.1,91,16,3.4,0.1,2.1,0.1,238,3,0.07,0.02,0.46,0.01,2.42,0.02,0.8,0.4,1.1,0.09
5,2.65,0.02,4.2,0.2,147,3,6,0.1,49,15,22.4,1,38.9,0.4,21,4,4,0.1,0.05,0.01,0.63,0.06,3.5,0.1,1.5,0.1,0.44,0.01,17,0.2,6.5,0.1,8,14,3.3,0.1,1.9,0.1,244,4,0.15,0.02,0.52,0.01,2.33,0.02,1.2,0.4,0.94,0.08
6,2.6,0.02,4.1,0.2,161,3,6.5,0.1,105,20,21.4,0.9,40.7,0.4,20,5,3.9,0.1,0.04,0.01,0.61,0.06,3.2,0.1,1.5,0.1,0.45,0.01,18.5,0.2,6.3,0.1,95,10,3.7,0.1,2.1,0.1,244,4,0.12,0.02,0.52,0.01,2.48,0.02,1.9,0.4,1.12,0.06
7,2.46,0.02,4.1,0.2,153,3,5.4,0.1,68,16,18,0.8,31.3,0.3,8,4,3.9,0.1,0.03,0.01,0.37,0.04,3.7,0.1,1.5,0.1,0.45,0.01,17.9,0.2,6.9,0.1,88,11,3.3,0.1,2,0.1,244,3,0.08,0.02,0.44,0.01,2.44,0.02,2.1,0.4,0.97,0.06
9,2.5,0.02,4.6,0.2,158,3,6.5,0.1,130,19,24.8,1,40.6,0.4,22,4,3.9,0.1,0.08,0.01,0.61,0.06,3.3,0.1,1.6,0.1,0.42,0.01,18.1,0.2,6.2,0.1,74,14,3.6,0.1,1.8,0.1,241,3,0.22,0.03,0.53,0.01,2.38,0.02,1.2,0.4,0.97,0.08
10,2.08,0.02,4.2,0.2,145,3,5.5,0.1,106,18,27,0.9,47.3,0.5,15,4,3.6,0.1,0.1,0.01,0.4,0.04,3.1,0.1,1.3,0.1,0.39,0.01,16.3,0.2,5.8,0.1,75,16,3.2,0.1,1.7,0.1,213,3,0.45,0.03,0.54,0.01,2.21,0.02,1.9,0.4,0.89,0.08
12,2.77,0.02,3.9,0.1,286,3,11,0.4,119,28,10.9,0.9,23,0.4,21,2,7.1,0.1,0.2,0.02,1.66,0.1,9.2,0.3,4.7,0.2,1.27,0.01,14,0.2,15.9,0.2,63,15,4.6,0.1,5.4,0.1,834,8,0.3,0.04,0.33,0.01,9.09,0.09,3.8,0.5,0.52,0.12
13,2.79,0.02,5.6,0.1,267,3,10.3,0.4,204,26,12.1,0.9,23.5,0.3,20,2,6.7,0.1,0.17,0.02,0.97,0.08,9.4,0.2,4.7,0.2,1.18,0.01,13.7,0.2,14.2,0.2,88,20,4.5,0.1,5.2,0.1,831,8,0.42,0.04,0.32,0.01,8.69,0.08,2.9,0.5,0.37,0.12
14,1.86,0.02,5.3,0.2,213,3,5.3,0.1,179,20,81.4,2,139,1.3,65,5,12.5,0.2,0.46,0.02,1.73,0.06,12.3,1.4,8,0.2,1.28,0.01,30.3,0.2,6.7,0.1,177,23,7.6,0.1,3.6,0.1,232,3,0.37,0.03,0.96,0.01,1.4,0.09,3,0.5,0.23,0.07
15,1.78,0.02,3.8,0.2,250,3,5.9,0.1,293,18,74.1,2,132,1.3,62,5,12.3,0.2,0.4,0.02,2.23,0.06,11.5,0.2,6.5,0.2,1.33,0.01,32.7,0.2,7.5,0.1,187,18,7.9,0.1,3.7,0.1,213,2,0.35,0.03,0.95,0.01,1.46,0.09,2.8,0.5,0.35,0.07
This study,3.05,0.09,3.74,,175,3,1.49,0.12,1910,134,90.3,6.3,155,6,59,9,7.8,0.72,1.45,0.13,0.51,0.06,2.2,0.18,0.71,0.07,0.14,0.03,23.3,0.5,2.07,0.1,330,165,8.4,0.3,0.82,0.11,247,7,5.19,0.03,1.92,0.02,3.15,0.09,5.1,1.7,0.2,0.07
Literature values,3.08,,,,234,,1.5,,1950,,112,,166,,50,2,8.3,,1.5,,0.52,,2.05,,1,,0.18,,25.2,,1.99,,316,,7.5,,0.91,,265,,4.9,,1.88,,3.9,,9,,0.05,
