Locality No.,1,2,3,4,5,6,7,9,10,12,13,14,15
1,1,,,,,,,,,,,,
2,0.93,1,,,,,,,,,,,
3,0.95,0.94,1,,,,,,,,,,
4,0.93,0.93,0.95,1,,,,,,,,,
5,0.88,0.9,0.89,0.91,1,,,,,,,,
6,0.9,0.9,0.91,0.94,0.94,1,,,,,,,
7,0.91,0.91,0.92,0.95,0.92,0.9,1,,,,,,
9,0.89,0.89,0.89,0.91,0.94,0.94,0.89,1,,,,,
10,0.8,0.81,0.83,0.84,0.87,0.85,0.85,0.88,1,,,,
12,0.52,0.53,0.53,0.5,0.49,0.49,0.5,0.5,0.46,1,,,
13,0.23,0.56,0.55,0.52,0.51,0.52,0.52,0.52,0.49,0.92,1,,
14,0.23,0.5,0.51,0.51,0.5,0.52,0.51,0.51,0.51,0.52,0.52,1,
15,0.52,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.54,0.53,0.91,1
